cliente_id,sector,consumo_kwh,costo_miles_cop
CL-001,Comercial,1252.4,851.4
CL-002,Residencial,235.6,189.1
CL-003,Industrial,1885.9,1164.6
CL-004,Comercial,939.4,664.5
CL-005,Residencial,263.2,200.6
CL-006,Industrial,3315.5,1997.4
CL-007,Comercial,1083.7,835.0
CL-008,Comercial,978.5,659.0
CL-009,Residencial,337.8,264.8
CL-010,Residencial,178.7,157.3
CL-011,Residencial,211.6,193.7
CL-012,Industrial,1944.1,1185.9
CL-013,Comercial,814.2,569.6
CL-014,Industrial,1674.0,1086.0
CL-015,Residencial,288.1,252.6
CL-016,Residencial,236.7,186.4
CL-017,Comercial,576.4,405.2
CL-018,Residencial,189.1,159.9
CL-019,Industrial,2688.1,1750.3
CL-020,Comercial,1084.4,758.3
CL-021,Comercial,1339.3,945.8
CL-022,Residencial,424.8,329.2
CL-023,Industrial,2748.6,1742.4
CL-024,Industrial,1906.3,1207.0
CL-025,Comercial,430.9,308.8
CL-026,Residencial,266.1,213.3
CL-027,Residencial,201.2,168.1
CL-028,Residencial,225.1,192.0
CL-029,Residencial,213.3,176.0
CL-030,Comercial,869.0,625.7
CL-031,Comercial,1134.5,807.2
CL-032,Industrial,2594.2,1660.3
CL-033,Residencial,240.5,191.5
CL-034,Residencial,187.9,156.0
CL-035,Residencial,149.5,122.1
CL-036,Residencial,220.8,196.2
CL-037,Residencial,246.8,215.1
CL-038,Residencial,356.1,296.5
CL-039,Residencial,257.8,205.0
CL-040,Comercial,1116.2,757.2
CL-041,Residencial,220.0,189.0
CL-042,Industrial,1789.0,1157.0
CL-043,Comercial,687.7,497.6
CL-044,Residencial,206.5,157.5
CL-045,Industrial,3777.1,2507.0
CL-046,Industrial,2007.2,1307.9
CL-047,Residencial,300.3,235.3
CL-048,Residencial,195.8,157.5
CL-049,Comercial,1104.9,792.8
CL-050,Residencial,273.1,224.4
CL-051,Residencial,240.6,195.0
CL-052,Residencial,247.6,202.2
CL-053,Comercial,755.9,531.3
CL-054,Comercial,998.1,713.0
CL-055,Comercial,799.9,601.4
CL-056,Comercial,630.4,401.6
CL-057,Residencial,173.3,140.8
CL-058,Comercial,938.0,670.7
CL-059,Residencial,344.7,286.0
CL-060,Residencial,259.6,209.7
CL-061,Comercial,873.9,576.9
CL-062,Residencial,267.1,221.9
CL-063,Comercial,1187.3,901.2
CL-064,Comercial,948.3,632.0
CL-065,Comercial,809.6,594.7
CL-066,Comercial,1143.4,801.1
CL-067,Comercial,994.3,704.2
CL-068,Residencial,342.1,268.7
CL-069,Residencial,261.0,211.2
CL-070,Residencial,176.5,152.3
CL-071,Residencial,167.9,140.9
CL-072,Residencial,349.1,306.1
CL-073,Industrial,3534.2,2368.4
CL-074,Residencial,239.2,199.6
CL-075,Residencial,227.0,199.1
CL-076,Residencial,337.7,281.8
CL-077,Residencial,183.6,155.5
CL-078,Comercial,703.2,493.3
CL-079,Comercial,1041.5,741.5
CL-080,Comercial,813.2,561.3
CL-081,Comercial,898.9,663.5
CL-082,Residencial,240.2,187.7
CL-083,Industrial,2702.5,1783.8
CL-084,Residencial,334.4,272.2
CL-085,Residencial,255.4,219.3
CL-086,Residencial,288.6,243.8
CL-087,Comercial,449.0,342.0
CL-088,Residencial,247.1,208.5
CL-089,Residencial,199.4,153.2
CL-090,Comercial,631.9,447.4
CL-091,Residencial,197.3,154.2
CL-092,Comercial,826.5,574.6
CL-093,Residencial,305.0,265.2
CL-094,Residencial,170.4,143.3
CL-095,Residencial,251.8,200.7
CL-096,Comercial,793.5,540.5
CL-097,Residencial,230.3,189.1
CL-098,Residencial,310.2,242.0
CL-099,Residencial,282.3,225.3
CL-100,Industrial,3302.4,2139.9
CL-101,Industrial,2407.3,1611.9
CL-102,Comercial,746.9,543.2
CL-103,Residencial,236.6,176.2
CL-104,Industrial,2645.5,1713.7
CL-105,Comercial,938.8,668.5
CL-106,Comercial,661.4,477.4
CL-107,Residencial,255.4,223.0
CL-108,Residencial,263.7,198.4
CL-109,Residencial,401.0,321.1
CL-110,Industrial,3626.1,2375.6
CL-111,Residencial,198.8,152.7
CL-112,Residencial,232.8,202.1
CL-113,Residencial,162.2,135.0
CL-114,Comercial,770.0,565.2
CL-115,Residencial,268.9,215.5
CL-116,Industrial,3223.5,2130.2
CL-117,Comercial,739.6,547.6
CL-118,Comercial,756.1,541.8
CL-119,Residencial,121.2,100.3
CL-120,Comercial,864.2,620.2
